incident_id,timestamp,date,time_window,day_type,lat,lng,zone_id,incident_type,num_injured,num_critical,num_fatalities,severity_category,severity_numeric,response_time_minutes,transport_time_minutes,weather_condition,road_condition,was_night_time
INC_000001,2024-12-10T15:20:03.287981,2024-12-10,12:00-18:00,WEEKDAY,22.701862,88.293361,ZONE_005,CARDIAC_EMERGENCY,1,0,0,MED,2,23.77,7.81,CLEAR,DRY,False
INC_000002,2024-12-09T21:31:31.287981,2024-12-09,18:00-24:00,WEEKDAY,22.715927,88.457675,ZONE_012,ROAD_ACCIDENT,1,0,0,HIGH,3,11.82,23.82,FOG,DAMAGED,True
INC_000003,2024-12-10T01:49:55.287981,2024-12-10,00:00-06:00,WEEKDAY,22.34289,88.274808,ZONE_014,RESPIRATORY_DISTRESS,3,0,0,HIGH,3,19.28,33.99,FOG,WET,True
INC_000004,2024-12-10T11:18:42.287981,2024-12-10,06:00-12:00,WEEKDAY,22.746692,88.302465,ZONE_009,FIRE,1,0,0,HIGH,3,22.97,32.67,RAIN,WET,False
INC_000005,2024-12-10T09:24:11.287981,2024-12-10,06:00-12:00,WEEKDAY,22.584937,88.384635,ZONE_020,ROAD_ACCIDENT,1,0,0,MED,2,14.22,38.52,FOG,WET,False
INC_000006,2024-12-10T09:57:33.287981,2024-12-10,06:00-12:00,WEEKDAY,22.3315,88.27411,ZONE_014,FIRE,2,1,0,CRITICAL,4,14.48,34.46,CLEAR,WET,False
INC_000007,2024-12-10T03:16:03.287981,2024-12-10,00:00-06:00,WEEKDAY,22.35959,88.255279,ZONE_010,ROAD_ACCIDENT,1,1,0,CRITICAL,4,23.18,26.19,CLEAR,WET,True
INC_000008,2024-12-09T22:46:45.287981,2024-12-09,18:00-24:00,WEEKDAY,22.740121,88.291628,ZONE_009,RESPIRATORY_DISTRESS,1,0,0,MED,2,24.26,16.36,RAIN,WET,True
INC_000009,2024-12-10T12:53:31.287981,2024-12-10,12:00-18:00,WEEKDAY,22.578888,88.534452,ZONE_007,RESPIRATORY_DISTRESS,1,0,0,MED,2,23.11,14.63,CLOUDY,DRY,False
INC_000010,2024-12-10T01:23:28.287981,2024-12-10,00:00-06:00,WEEKDAY,22.327566,88.278333,ZONE_014,FIRE,1,0,0,MED,2,5.86,39.93,CLEAR,WET,True
INC_000011,2024-12-10T04:56:30.287981,2024-12-10,00:00-06:00,WEEKDAY,22.740356,88.286301,ZONE_009,TRAUMA_OTHER,3,1,0,CRITICAL,4,21.52,5.49,RAIN,DRY,True
INC_000012,2024-12-09T23:10:51.287981,2024-12-09,18:00-24:00,WEEKDAY,22.500431,88.135553,ZONE_002,RESPIRATORY_DISTRESS,1,0,0,MED,2,5.87,5.45,RAIN,DRY,True
